Tres Pinos Union Elementary,San Benito,248,42,0
Edison Elementary,Kern,2100,1649,268
Mark West Union Elementary,Sonoma,2930,713,221
Plumas Lake Elementary,Yuba,2519,616,286
Montebello Unified,Los Angeles,54148,39006,5268
San Jose Unified,Santa Clara,63318,23075,5290
Modoc County Office of Education,Modoc,65,61,0
Meadows Union Elementary,Imperial,966,575,78
San Miguel Joint Union,San Luis Obispo,1761,889,71
Seeley Union Elementary,Imperial,666,427,55
Taft City,Kern,4403,3252,320
Calaveras County Office of Education,Calaveras,1042,365,169
San Ardo Union Elementary,Monterey,194,162,10
Colfax Elementary,Placer,623,226,51
Big Creek Elementary,Fresno,108,15,14
Millville Elementary,Shasta,497,99,37
Columbia Union,Tuolumne,1055,531,74
Willows Unified,Glenn,2815,1558,224
Delphic Elementary,Siskiyou,113,113,0
King City Union,Monterey,5318,4530,282
Gold Oak Union Elementary,El Dorado,944,283,38
Little Lake City Elementary,Los Angeles,8782,4283,1794
Dixon Unified,Solano,7248,3394,507
Traver Joint Elementary,Tulare,427,358,28
Gateway Unified,Shasta,5535,3117,731
Fowler Unified,Fresno,5067,3371,445
Calaveras Unified,Calaveras,5800,2566,537
Central Union High,Imperial,8025,4948,732
Turlock Unified,Stanislaus,28144,13624,2845
Alta Vista Elementary,Tulare,1098,693,0
Oak Valley Union Elementary,Tulare,1120,736,133
Sylvan Union Elementary,Stanislaus,16714,6691,1647
Fairfield-Suisun Unified,Solano,42753,21252,2448
Atascadero Unified,San Luis Obispo,9196,2562,641
Weed Union Elementary,Siskiyou,533,401,52
Firebaugh-Las Deltas Unified,Fresno,4539,3484,503
Alisal Union,Monterey,18346,13437,1734
Lamont Elementary,Kern,6110,4924,427
Center Joint Unified,Sacramento,8877,4420,1015
Newman-Crows Landing Unified,Stanislaus,5947,3354,915
Keyes Union,Stanislaus,2264,1189,210
Del Mar Union Elementary,San Diego,8826,406,108
Central Elementary,San Bernardino,9033,4257,880
Buellton Union Elementary,Santa Barbara,1219,341,101
Lucerne Elementary,Lake,525,413,62
Romoland Elementary,Riverside,7607,4179,1355
Fruitvale Elementary,Kern,6380,2154,722
Lodi Unified,San Joaquin,60976,34604,6062
Templeton Unified,San Luis Obispo,4731,619,121
Madera County Office of Education,Madera,1708,1231,141
Stone Corral Elementary,Tulare,1337,1082,119
El Rancho Unified,Los Angeles,17245,10480,2183
San Carlos Elementary,San Mateo,6994,285,52
Shasta Union High,Shasta,11263,3007,560
Antioch Unified,Contra Costa,34223,20066,3113
Twin Ridges Elementary,Nevada,188,149,19
River Delta Joint Unified,Sacramento,4659,1985,320
Manchester Union Elementary,Mendocino,94,22,24
Simi Valley Unified,Ventura,33874,8181,2336
Riverside Unified,Riverside,84693,41761,9950
Washington Colony Elementary,Fresno,847,662,68
Colusa Unified,Colusa,2926,1644,326
Washington Union Elementary,Monterey,1764,110,0
Clear Creek Elementary,Nevada,289,76,12
Liberty Union High,Contra Costa,16059,3743,759
Milpitas Unified,Santa Clara,20399,5092,1469
Westminster,Orange,18558,10997,2152
Linns Valley-Poso Flat Union,Kern,44,8,0
Valley Center-Pauma Unified,San Diego,8055,3437,740
Corona-Norco Unified,Riverside,105312,34394,11010
El Segundo Unified,Los Angeles,6877,655,208
Bret Harte Union High,Calaveras,1354,416,82
Perris Elementary,Riverside,11839,9136,854
Pollock Pines Elementary,El Dorado,1361,590,79
Manzanita Elementary,Butte,572,192,46
Lake County Office of Education,Lake,67,43,0
McKittrick Elementary,Kern,154,32,0
Capay Joint Union Elementary,Glenn,384,128,52
Moreland,Santa Clara,9504,2172,558
Pine Ridge Elementary,Fresno,192,26,16
Union Joint Elementary,Marin,24,10,0
Midway Elementary,Kern,170,88,6
Magnolia Elementary,Orange,12426,9327,1246
Blochman Union Elementary,Santa Barbara,2531,654,405
Santa Ynez Valley Union High,Santa Barbara,1872,299,131
San Marcos Unified,San Diego,41609,12016,3195
College Elementary,Santa Barbara,784,179,78
Lakeside Joint,Santa Clara,171,10,2
Golden Plains Unified,Fresno,3377,2809,330
Perris Union High,Riverside,21293,12059,3586
Ross Valley Elementary,Marin,4442,332,44
Meridian Elementary,Sutter,2146,1119,179
Southern Kern Unified,Kern,6683,4249,548
Cardiff Elementary,San Diego,1408,134,36
Colton Joint Unified,San Bernardino,45046,30991,5047
Mariposa County Office of Education,Mariposa,88,46,8
Burton Elementary,Tulare,9290,5605,1057
Healdsburg Unified,Sonoma,3190,1346,334
